2026-02-14 06:19:58 | INFO | creating RunStatusReporter for 1e375d0a349749d3897bfe7c
2026-02-14 06:19:58 | INFO | starting from: {}
2026-02-14 06:19:58 | INFO | starting writer thread for <aim.sdk.reporter.RunStatusReporter object at 0x7ad7dfe64c20>
2026-02-14 06:19:58 | INFO | 📦 Loading dataset from data/processed/arknights_latents.pt...
2026-02-14 06:19:59 | INFO | 📊 Dataset: 3381 images, 394 classes
2026-02-14 06:20:00 | INFO | 🧠 Model Initialized (129.91M params)
2026-02-14 06:20:00 | INFO | ♻️ Loading checkpoint from checkpoints/arknights-better-crop/epoch_0604.pth...
2026-02-14 06:20:00 | INFO |    -> Model Weights Loaded: <All keys matched successfully>
2026-02-14 06:20:00 | INFO |    -> Optimizer State Restored
2026-02-14 06:20:00 | INFO | ✅ Successfully Resumed from Epoch 605
2026-02-14 06:20:00 | INFO | 🔥 Compiling model with Triton (mode='max-autotune')...
2026-02-14 06:20:01 | INFO | 🎬 Training Start: Epoch 605 -> 1500
Epoch 606/1500: 100%|██████████████████████████████████████████| 106/106 [00:59<00:00,  1.78it/s, loss=0.5584]
Epoch 607/1500: 100%|██████████████████████████████████████████| 106/106 [00:40<00:00,  2.60it/s, loss=0.5570]
Epoch 608/1500: 100%|██████████████████████████████████████████| 106/106 [00:40<00:00,  2.59it/s, loss=0.5585]
Epoch 609/1500: 100%|██████████████████████████████████████████| 106/106 [00:39<00:00,  2.68it/s, loss=0.5587]
Epoch 610/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.5626]
Epoch 611/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5630]
Epoch 612/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5664]
Epoch 613/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5676]
Epoch 614/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5669]
Epoch 615/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5665]
Epoch 616/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5646]
Epoch 617/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.5678]
Epoch 618/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.5647]
Epoch 619/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5685]
Epoch 620/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5671]
Epoch 621/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5665]
Epoch 622/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.5605]
Epoch 623/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5672]
Epoch 624/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5699]
Epoch 625/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5678]
Epoch 626/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5645]
Epoch 627/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5702]
Epoch 628/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5656]
Epoch 629/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5684]
Epoch 630/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5682]
Epoch 631/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5620]
Epoch 632/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5640]
Epoch 633/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5633]
Epoch 634/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5649]
Epoch 635/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5688]
Epoch 636/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5678]
Epoch 637/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5706]
Epoch 638/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5645]
Epoch 639/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5644]
Epoch 640/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5715]
Epoch 641/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5677]
Epoch 642/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5726]
Epoch 643/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5692]
Epoch 644/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5751]
Epoch 645/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5729]
Epoch 646/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5740]
Epoch 647/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5749]
Epoch 648/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5793]
Epoch 649/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5741]
Epoch 650/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5991]
2026-02-14 06:49:39 | INFO | 💾 Saved Checkpoint: Epoch 649 | Loss: 0.5991
Epoch 651/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5758]
Epoch 652/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5770]
Epoch 653/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5757]
Epoch 654/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5782]
Epoch 655/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5799]
Epoch 656/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5756]
Epoch 657/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5777]
Epoch 658/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5866]
Epoch 659/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5762]
Epoch 660/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5827]
Epoch 661/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5801]
Epoch 662/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5894]
Epoch 663/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.5904]
Epoch 664/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.5990]
Epoch 665/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.6077]
Epoch 666/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.6030]
Epoch 667/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.6176]
Epoch 668/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.6247]
Epoch 669/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.6391]
Epoch 670/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.6289]
Epoch 671/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.6509]
Epoch 672/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=0.6652]
Epoch 673/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.6535]
Epoch 674/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.6779]
Epoch 675/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.7184]
Epoch 676/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.7129]
Epoch 677/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.7134]
Epoch 678/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.7954]
Epoch 679/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.9684]
Epoch 680/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.7843]
Epoch 681/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.7827]
Epoch 682/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.7862]
Epoch 683/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.8967]
Epoch 684/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.9513]
Epoch 685/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.8654]
Epoch 686/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.9528]
Epoch 687/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=0.9143]
Epoch 688/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.1235]
Epoch 689/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.2116]
Epoch 690/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.1930]
Epoch 691/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.0862]
Epoch 692/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.1046]
Epoch 693/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.1583]
Epoch 694/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.3103]
Epoch 695/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.72it/s, loss=1.8738]
Epoch 696/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.6386]
Epoch 697/1500: 100%|██████████████████████████████████████████| 106/106 [00:38<00:00,  2.73it/s, loss=1.5491]
